fy,symbol,gross_profit_margin,operating_profit_margin,net_profit_margin,roe,roic,return_on_assets,return_on_capital_employed,debt_equity_ratio,debt_ratio,net_debt_to_ebitda,interest_coverage,current_ratio,quick_ratio,cash_ratio,asset_turnover,inventory_turnover,receivables_turnover,payables_turnover,cash_conversion_cycle,operating_cf_per_share,free_cf_per_share,free_cf_yield,pe_ratio,pb_ratio,price_to_sales_ratio,price_to_fcf_ratio,price_to_ocf_ratio,dividend_yield,dividend_payout_ratio,earnings_yield,ev_to_sales,ev_to_ebitda,market_cap,book_value_per_share,revenue_per_share,net_income_per_share,shareholders_equity_per_share
2013,BHARTIARTL,0.550118314,0.131268944,0.032336165,0.046400361,0.031639421,0.015136709,0.08906864,1.270095053,0.414329949,2.603646537,3.09378264,0.394079747,0.391027198,0.087682422,0.468104655,271.2770745,7.791487583,3.647362499,51.88082823,59.82368763,18.99823862,0.065118213,46.13984585,2.140905526,1.491985648,15.35668678,4.87683076,0.003469813,0.160096657,0.021673241,2.319020347,7.300672274,1279320000000.0,136.2741123,195.5447764,6.323168069,136.2741123
2014,BHARTIARTL,0.56157689,0.155231347,0.056318272,0.083663673,0.05469507,0.026475903,0.107961187,1.071192,0.338985544,2.226212468,3.86229455,0.42187931,0.416766099,0.018471553,0.470112135,301.360717,5.456611827,3.90665208,25.32788397,62.2374851,14.34908897,0.039734961,30.89682181,2.584941602,1.740055627,25.16675454,5.802291005,0.010011634,0.309327674,0.032365789,2.448396837,7.694951934,1601540000000.0,139.7014152,207.5335951,11.68793354,139.7014152
2015,BHARTIARTL,0.790299523,0.152999932,0.044152162,0.105362952,0.052675747,0.021227586,0.102603591,2.402864465,0.484107652,2.827288973,2.685995548,0.350109207,0.335247675,0.035676425,0.480782476,125.1720875,6.791179439,1.211479135,244.622422,68.15675326,3.722430889,0.011556755,32.04421526,3.376273116,1.414821377,86.52947754,4.725870653,0.01130607,0.362294126,0.031206881,2.400732432,6.884560523,1428080000000.0,95.40104991,227.6612478,10.05173625,95.40104991
2016,BHARTIARTL,0.563768288,0.146591067,0.039801693,0.056329802,0.043612668,0.016325657,0.082416647,1.592558442,0.461559646,3.006477671,2.084700064,0.322743615,0.318732157,0.020362318,0.410174943,853.4077869,5.69874944,1.550858913,170.8766158,65.93034918,21.69747675,0.067507161,37.50208879,2.112485223,1.492646637,14.8132432,4.87499314,0.006433664,0.241275857,0.026665181,2.60449633,7.042642646,1425000000000.0,152.1478098,215.3289278,8.57045595,152.1478098
2017,BHARTIARTL,0.54555557,0.103380537,0.013132125,0.015805127,0.031715909,0.004385797,0.050200851,1.601128362,0.44430038,3.565493515,1.337367835,0.4281575,0.424128865,0.063912403,0.333974641,548.7950938,3.931685889,1.369640767,172.9926489,67.3310887,8.013296737,0.022089194,146.3584006,2.313213061,1.921996875,45.27100542,5.387852878,0.020299925,2.971064604,0.006832543,3.192586769,8.958946921,1608480000000.0,156.8251564,188.7464047,2.478641462,156.8251564
2018,BHARTIARTL,0.50767391,0.085499912,0.005069312,0.005733511,0.033932371,0.001488022,0.037919191,1.756152849,0.455775579,4.308251059,0.762615109,0.353615984,0.349580731,0.066757366,0.29353537,449.8891403,3.751390863,1.420207049,158.8962229,41.62589741,20.38276395,0.0651373,363.2601079,2.08275598,1.841478657,15.35218682,7.517435526,0.031338103,11.38388278,0.002752848,3.317288323,9.683979755,1487550000000.0,150.2432368,169.9286597,0.861421316,150.2432368
2019,BHARTIARTL,0.553798878,0.099335153,0.367644136,0.417179123,0.024311481,0.089204749,0.037924231,1.921426979,0.410855676,4.223848204,1.094652433,0.582892988,0.580885194,0.103056866,0.242638845,248.9483748,2.923277287,1.561157319,107.474879,35.05887,5.005094764,0.011351995,7.084017458,2.95530419,2.604397476,88.0902402,12.57599004,0.008010567,0.056746998,0.141162837,4.142882037,11.37411794,2279860000000.0,149.1893801,169.2905956,62.23869473,149.1893801
2020,BHARTIARTL,0.570048641,0.165182804,0.149911843,0.255857662,0.105470476,0.043590428,0.070906887,2.761284895,0.470439658,3.537043092,1.33736743,0.49045961,0.487101372,0.072431001,0.290773747,162.631203,4.445103202,1.552086136,150.8101896,87.95061118,38.21878711,0.073881282,18.79721791,4.809412231,2.817925578,13.53522807,5.881710122,0.009489721,0.178380349,0.053199362,4.3554505,10.01962042,2835280000000.0,107.5599211,183.5747558,27.52002995,107.5599211
2021,BHARTIARTL,0.610415206,0.211516565,0.03650805,0.063931256,0.060078227,0.011700343,0.098752554,2.549465624,0.466589029,2.873812402,1.860484072,0.456281024,0.452132847,0.053460614,0.320486669,121.0797333,5.007019895,1.551026334,159.4158526,99.1947814,18.33377807,0.024284758,98.40875894,6.291395573,3.592711847,41.17809199,7.610783444,0.003448132,0.339326424,0.010161697,4.996284143,10.22988511,4187190000000.0,119.9972234,210.1337463,7.671573223,119.9972234
2022,BHARTIARTL,0.655641461,0.251972046,0.059979963,0.107601701,0.071454443,0.018686251,0.107988619,2.914025907,0.506053513,2.999373648,1.816620812,0.471462024,0.363381594,0.058865007,0.311541551,186.0081522,33.85683002,1.45664334,237.8331252,115.8089131,46.99078469,0.06273803,50.62247962,5.447064933,3.036334471,15.93929544,6.467550551,0.008496766,0.430127368,0.01975407,4.609091053,8.789908373,4224900000000.0,137.5052453,246.6790161,14.79579834,137.5052453
