fy,symbol,gross_profit_margin,operating_profit_margin,net_profit_margin,roe,roic,return_on_assets,return_on_capital_employed,debt_equity_ratio,debt_ratio,net_debt_to_ebitda,interest_coverage,current_ratio,quick_ratio,cash_ratio,asset_turnover,inventory_turnover,receivables_turnover,payables_turnover,cash_conversion_cycle,operating_cf_per_share,free_cf_per_share,free_cf_yield,pe_ratio,pb_ratio,price_to_sales_ratio,price_to_fcf_ratio,price_to_ocf_ratio,dividend_yield,dividend_payout_ratio,earnings_yield,ev_to_sales,ev_to_ebitda,market_cap,book_value_per_share,revenue_per_share,net_income_per_share,shareholders_equity_per_share
2017,ICICIBANK,1.0,0.517703701,0.091045432,0.06971526,0.111626323,0.00621493,0.035478934,1.94348857,0.173256844,2.166746477,1.279933726,25.9552103,25.9552103,24.12529779,0.068261857,0.0,9.486087347,0.0,0.0,30.20968703,28.58543134,0.1091672,21.78452579,1.518713882,1.983381572,9.160260583,8.667749511,0.010214561,0.222519362,0.045904144,3.131693075,5.90918485,1680060000000.0,172.4156229,132.0219991,12.02,172.4156229
2018,ICICIBANK,1.0,0.053489866,0.046177011,0.037235125,0.01159134,0.003434179,0.003996017,1.857569538,0.171322813,20.58031968,0.125785481,10.4471457,12.20598379,15.67733854,0.074369886,0.0,9.396723155,0.0,0.0,75.62235754,73.8384282,0.185407227,60.24962179,2.243402197,2.782147448,5.393533012,5.266299716,0.004560095,0.27474402,0.016597615,4.116507676,63.49038453,2563160000000.0,177.5205536,143.1448215,6.61,177.5205536
2019,ICICIBANK,1.0,0.105119709,0.091003208,0.077800141,0.019624018,0.006945737,0.008041096,1.765524511,0.157620144,57.95317456,0.247399892,33.37975312,37.01922634,41.63169597,0.076324093,0.0,9.405083862,0.0,0.0,123.1652477,120.2651703,0.371475429,21.86240044,1.700897836,1.989548574,2.691968084,2.628582381,0.004238163,0.092656416,0.045740631,2.807645848,198.8907615,2091430000000.0,190.3406502,162.725356,14.80852941,190.3406502
2020,ICICIBANK,1.0,0.170375162,0.154910047,0.11666103,0.051747088,0.011681393,0.012867882,0.939914202,0.094114613,1.99992808,0.47398291,43.66058732,48.11589167,59.43192115,0.075407591,0.0,10.72780181,0.0,0.0,204.6793712,202.1757378,0.347321316,21.35026098,2.490743428,3.307369921,2.879178315,2.843960271,0.0,0.0,0.046837835,3.276440778,211.8599229,3925100000000.0,233.705324,176.000875,27.26430372,233.705324
2021,ICICIBANK,1.0,0.221568361,0.215778771,0.137927803,0.055438504,0.014327037,0.014734587,0.937301034,0.097360691,31.94616412,0.626327867,29.32790873,33.26589318,66.53269007,0.066396878,0.0,10.73620641,0.0,0.0,83.81070274,81.12817724,0.111088836,20.165776,2.781421182,4.351346352,9.001804611,8.713684244,0.002735637,0.055166248,0.049588967,4.166390051,719.6304194,5063650000000.0,262.5636148,167.8331121,36.21482257,262.5636148
2022,ICICIBANK,1.0,0.254085766,0.25094214,0.158680602,0.062565121,0.017379017,0.017626781,0.927114846,0.101539474,123.3748184,0.681850327,22.90761781,42.33426209,40.86730462,0.069255077,0.0,2.091014746,0.0,0.0,5.413486033,8.955793843,0.010208941,17.95474495,2.849069734,4.505602114,97.95334901,162.0490003,0.00569357,0.102226601,0.055695584,4.893445672,1556.62756,6111190000000.0,307.9075213,194.7020571,48.8589508,307.9075213
2012,INFY,0.373208975,0.258042714,0.233171127,0.235302142,0.182063171,0.202014287,0.258637041,0.053471559,0.045907015,2.106338397,0.0,5.617443869,5.263385147,3.472366149,0.866377796,12.04415584,4.217787913,132.4857143,114.0883938,0.380207017,0.296202705,0.043742115,17.94443499,4.222363983,4.184124137,22.86126319,17.8102131,0.015797558,0.283478261,0.055727584,3.640598859,14.1085125,30954150362.0,1.603738576,1.618395578,0.377363121,1.603738576
2013,INFY,0.358467693,0.239907868,0.212268154,0.22072356,0.168272613,0.183889939,0.247436859,0.073112316,0.060911573,2.18847903,0.0,4.711286089,4.398950131,2.841863517,0.866309599,11.73392461,4.427804616,182.4827586,111.5398264,0.438176191,0.339515451,0.049366358,17.95454812,3.962991776,3.81117878,20.2567099,15.69566338,0.016508466,0.296402056,0.055696194,3.286145443,13.69753095,31438413760.0,1.735422728,1.804550874,0.383048682,1.735422728
2014,INFY,0.383078866,0.25921249,0.231087131,0.229742068,0.170630658,0.189637306,0.256736782,0.078863273,0.065096561,2.15190434,0.0,4.148901099,3.850549451,2.66978022,0.820631182,9.915129151,4.335988054,244.2727273,119.4973974,0.384142482,0.303857578,0.034115559,20.22581236,4.646719958,4.673924954,29.31213843,23.18596827,0.020017409,0.404868356,0.049441772,4.116124472,15.87934467,40714560274.0,1.916774731,1.905617974,0.440363791,1.916774731
2015,INFY,0.373750132,0.249973687,0.215977266,0.22007722,0.169063417,0.18034804,0.253198294,0.084405834,0.069168571,2.077894737,0.0,3.904904905,3.56006006,2.46996997,0.835032519,8.686131387,4.3844024,102.5862069,121.7126831,0.407329987,0.316982358,0.034461478,20.49071595,4.509539804,4.4255288,29.0179083,22.58160533,0.025186132,0.516081871,0.04880259,3.906109792,15.62608385,42046949133.0,2.039712565,2.078432977,0.448894271,2.039712565
2016,INFY,0.368534483,0.246865204,0.209639498,0.201184545,0.146341328,0.166485141,0.235668194,0.164896117,0.136455578,1.234170499,0.0,3.832484961,3.660805183,1.61453031,0.794149681,17.66027397,3.539528433,113.0877193,120.5613545,0.459171284,0.36926209,0.046808514,16.85131562,3.390224258,3.532701355,21.36363474,17.18047424,0.028617528,0.482242991,0.059342548,3.190910603,11.52204295,36061815433.0,2.326919938,2.233073115,0.468140328,2.326919938
2017,INFY,0.359996343,0.243075235,0.227260261,0.249598394,0.199126435,0.202855977,0.263502131,0.060441767,0.049122807,1.143663031,0.0,3.545748614,3.092883549,1.405268022,0.892615259,7.247412008,4.097003745,65.42990654,133.8738128,0.500369719,0.431643705,0.049392381,15.85640982,3.95773442,3.603531842,20.2460374,17.46523475,0.029325934,0.465004023,0.063065978,3.325535681,13.68109621,39419034819.0,2.20810031,2.425141495,0.55113829,2.20810031
2018,INFY,0.348504111,0.22849394,0.186371726,0.234160366,0.178757496,0.179480901,0.28203787,0.176552018,0.135324845,0.916126943,0.0,2.838470108,2.655031563,1.0505013,0.963026445,480.4375,3.508474576,30.14509804,92.68543604,0.520343288,0.440060438,0.040386994,21.54012482,5.043843518,4.014470249,24.76044667,20.94020092,0.041294804,0.889495225,0.046424986,3.774704168,14.42284147,47366734474.0,2.160275782,2.714204446,0.505850969,2.160275782
2019,INFY,0.330829421,0.21314554,0.182394366,0.269604441,0.208484515,0.190130506,0.286646322,0.070784178,0.049918434,0.594100673,113.5,2.615886834,2.344940152,0.894087777,1.042414356,450.1052632,3.775480059,22.68435013,81.39698078,0.613234038,0.504021542,0.059930755,15.36164405,4.141567463,2.801877331,16.68592371,13.71428276,0.037952421,0.583011583,0.065097199,2.656885155,10.88649961,35807992284.0,2.030647835,3.001582157,0.547471675,2.030647835
2020,INFY,0.349015559,0.245188408,0.192684905,0.250239418,0.205588434,0.176256324,0.287604879,0.069718445,0.049106239,0.681773155,127.8846154,2.545036765,2.257659314,1.035539216,0.914738617,464.6315789,3.69610248,24.38674033,84.57109177,0.767958515,0.700779823,0.037541461,30.30709625,7.58403012,5.83971997,26.63721578,24.30707259,0.015481275,0.469192499,0.032995573,5.636711342,18.93002539,79192442514.0,2.461332968,3.196527138,0.615922529,2.461332968
2021,INFY,0.325853718,0.23021274,0.181656551,0.298058545,0.242543503,0.190485375,0.337619133,0.072628508,0.046415943,0.352404274,139.0740741,1.999774419,1.825851568,0.519963907,1.048601736,439.84,3.352723535,20.1023766,91.53950582,0.794622371,0.725731344,0.028920432,35.65125177,10.62616025,6.476283429,34.57762979,31.57986816,0.016121603,0.574755316,0.028049506,6.379232359,23.16377093,105635000000.0,2.361536919,3.874763976,0.703876259,2.361536919
2022,INFY,0.302163409,0.210026356,0.163683286,0.325010903,0.247145689,0.194683908,0.362799962,0.11011775,0.065961338,0.101290323,109.2857143,1.80876494,1.637030824,0.310547285,1.189393939,508.36,3.34287812,26.92584746,96.34959623,0.682389309,0.606089909,0.034847912,24.39314911,7.928039413,3.992750796,28.69612372,25.48754907,0.023337375,0.569272056,0.040995117,3.966888727,15.5365543,72715977496.0,2.193787151,4.356002137,0.713004743,2.193787151
2012,RELIANCE,0.097546479,0.05521304,0.052583727,0.114685123,0.060366822,0.057619971,0.082391585,0.588937409,0.295893277,1.72985244,8.517094017,1.619481895,1.009940379,0.385514261,1.095775713,6.562700317,12.70720389,7.209859155,33.71609212,62.03558492,10.40479825,0.026975003,10.99410164,1.260859895,0.578110845,37.07135792,6.217721659,0.012847107,0.141242397,0.090957864,0.754667655,7.394014909,2295460000000.0,305.9182083,667.2076878,35.08426723,305.9182083
2013,RELIANCE,0.096377112,0.05463564,0.051772315,0.113208212,0.055137753,0.052450431,0.075670971,0.69838993,0.323570631,2.608644714,9.468288791,1.311863906,0.770954184,0.296206885,1.013098034,7.010875583,21.4951514,6.450673677,12.45930702,72.92548307,28.36374976,0.061525238,12.15850569,1.376442688,0.629473987,16.25349271,6.321658501,0.011419429,0.138843196,0.082246949,0.870350017,9.425736431,2734810000000.0,334.9285836,732.3733935,37.91666607,334.9285836
2014,RELIANCE,0.128538895,0.068991969,0.062769854,0.107854041,0.051873953,0.046712892,0.070783449,0.736204742,0.318859195,3.563153352,10.41914722,0.98573831,0.541525626,0.088399385,0.7441931,6.14439979,31.90304215,5.507381285,4.569909603,57.87366244,48.80891006,0.119302185,10.31131236,1.112116701,0.647239568,8.382076132,7.069191455,0.01344876,0.138674361,0.096980866,1.04307906,9.389287117,2429960000000.0,367.8750617,632.0997981,39.67681181,367.8750617
2015,RELIANCE,0.203208169,0.113605792,0.099911768,0.113399904,0.056977885,0.045577964,0.074741164,0.743190055,0.298704748,3.572972068,12.50179069,0.681051272,0.349314037,0.05617367,0.45618214,4.691849076,18.99601594,937.6510638,96.61977348,66.9342905,16.56250021,0.031993085,11.14405671,1.263734961,1.11342241,31.25675433,7.734301748,0.023575049,0.262721679,0.08973393,1.730459843,10.02027486,3079100000000.0,409.6507702,464.9538176,46.454358,409.6507702
2016,RELIANCE,0.199913551,0.113500468,0.097913433,0.113386346,0.056112127,0.042304634,0.073514534,0.745522527,0.278155693,3.948001615,10.97909408,0.623894576,0.383669688,0.00432183,0.432061596,4.57037037,10.01186807,3.189921013,1.896073612,83.17148078,47.93732229,0.073270649,13.03548648,1.478046184,1.276349232,13.64802973,7.866278127,0.000135976,0.001772516,0.076713669,1.916806102,11.81586761,3897740000000.0,442.645167,512.5948162,50.1899182,442.645167
2017,RELIANCE,0.21462838,0.121551687,0.092103953,0.122910605,0.067842532,0.044190713,0.094745033,0.745344218,0.267977627,3.168741112,6.57038366,0.585581739,0.360010451,0.008347884,0.479791707,5.056330851,8.448415694,2.878618018,11.40685672,119.5781178,4.173411689,0.004718012,14.65315311,1.801027912,1.349613325,211.9536882,7.397423676,0.007408073,0.108551629,0.068244697,1.901453234,10.91840757,5286120000000.0,491.147302,655.4247675,60.36721198,491.147302
2018,RELIANCE,0.217710069,0.113828277,0.069803486,0.102264978,0.069026286,0.03949298,0.09423078,0.742692037,0.286814923,3.192237577,4.234013249,0.727195089,0.464824374,0.012069759,0.565773748,6.566865499,8.725556564,4.096280088,8.307980825,76.46932245,80.07075066,0.058073624,20.83062739,2.130243643,1.454050406,17.21952134,18.03049845,0.005192551,0.10816409,0.048006235,1.954239956,12.4720683,8246430000000.0,647.2405184,948.2339773,66.19003711,647.2405184
2019,RELIANCE,0.243500133,0.11280568,0.065947988,0.086810549,0.062054853,0.033753747,0.089397197,0.761011797,0.295897214,3.246882184,3.389356024,0.625454088,0.427326623,0.062489707,0.511823761,6.108493566,10.16147873,4.663643219,17.40784315,157.1651742,34.54544181,0.031311298,17.49437256,1.518696094,1.153718665,31.93735388,7.019939409,0.006669828,0.116684454,0.057161238,1.688602192,10.25025469,6884740000000.0,726.4718758,956.2903271,63.06542269,726.4718758
2020,RELIANCE,0.273841139,0.114590383,0.105216267,0.070165616,0.05352379,0.03718404,0.051267482,0.371515856,0.196883619,2.7494459,2.987937678,1.343854479,0.996815195,0.052261068,0.353405812,4.151496229,4.580290754,3.113593579,50.38148478,40.70497347,123.8202233,0.061814299,26.22881373,1.840360884,2.759697854,16.17748658,49.21020282,0.00304291,0.07981192,0.038126009,3.285734211,17.17361991,12885700000000.0,1088.427828,725.8403296,76.37020953,1088.427828
2021,RELIANCE,0.23765433,0.113204717,0.086726137,0.077878343,0.05931666,0.04047904,0.066531319,0.361743972,0.188024659,1.999106913,5.488225516,1.124268617,0.723458022,0.108562117,0.466745573,4.951038245,9.942077155,3.34910563,1.450240841,167.6990034,15.92666173,0.006044847,28.63858696,2.230325691,2.483714003,165.4301476,15.7111846,0.002471663,0.070784944,0.034917924,2.838683273,15.98682432,17385100000000.0,1181.329709,1060.810543,92.0,1181.329709
2022,RELIANCE,0.284113805,0.116522716,0.075843578,0.081229686,0.068060485,0.038927205,0.077813348,0.408126135,0.195583791,1.683523928,5.236216851,1.114603035,0.635721023,0.188402508,0.513256446,4.49687875,30.67768941,4.277806466,7.741203978,170.02496,38.36469731,0.016458119,23.64387869,1.920584832,1.793236361,60.7602865,13.71004587,0.003223017,0.076204612,0.042294245,2.089354014,11.87864838,15770900000000.0,1213.718843,1299.912298,98.59,1213.718843
2012,SBIN,1.0,1.401208228,0.189763445,0.143291995,0.278132108,0.008398922,0.062538624,1.693162149,0.099243069,0.49655055,1.238490534,90.20501191,14.85107108,8.168947458,0.044259959,0.0,0.794760291,0.0,0.0,35.88801489,30.55645851,0.146161192,7.83523862,1.122726972,1.486841869,6.841761388,5.825343047,0.018843159,0.14764065,0.127628532,2.190909118,1.54516082,1403780000000.0,186.2073356,140.6067467,26.68202056,186.2073356
2013,SBIN,1.0,1.366751462,0.135954655,0.096177807,0.25653567,0.005915644,0.059985619,1.560796626,0.096000501,0.435183266,1.172950366,87.66522316,13.50292443,8.115631452,0.043511892,0.0,0.939522786,0.0,0.0,28.17686049,23.60203103,0.123074676,9.400368864,0.904106864,1.278023908,8.125148373,6.805939366,0.033836841,0.31807879,0.106378804,1.880919485,1.357688987,1332390000000.0,212.1098862,150.0519691,20.40026373,212.1098862
2014,SBIN,1.0,1.275489116,0.136748622,0.105301183,0.252603508,0.006293928,0.059266169,1.634384668,0.097688362,0.344694806,1.190206916,77.88905023,13.23343603,8.159640765,0.046025535,0.0,0.958146816,0.0,0.0,62.15452338,57.53033582,0.21542909,11.73171856,1.235363844,1.604296342,4.641898647,4.296549527,0.006201133,0.072749943,0.085239004,2.048337354,1.590058639,1993720000000.0,216.1711218,166.4592638,22.76307488,216.1711218
2015,SBIN,1.0,1.251985083,0.095236412,0.067691649,0.245594246,0.004114782,0.054641932,1.540255179,0.093627705,0.085615481,1.123442302,75.40322584,13.12435492,8.856174379,0.043205971,0.0,1.008071002,0.0,0.0,18.36351481,13.4380986,0.069179401,12.18066288,0.824529152,1.160042628,14.45517002,10.57804032,0.02054119,0.250205312,0.082097338,1.268734136,0.999372303,1489040000000.0,235.5890019,167.450743,15.94740794,235.5890019
2016,SBIN,1.0,1.060452107,0.001697612,0.001110687,0.107506884,700000.0,0.043940308,1.668487086,0.105187085,0.139808422,1.010573959,151.0411082,28.46650697,21.76327023,0.041247048,0.0,1.353322401,0.0,0.0,99.19054292,93.52186315,0.318752096,949.1363894,1.054193465,1.611265153,3.137234269,2.957943221,0.010208935,9.689671997,0.001053589,1.762392948,1.630390878,2289630000000.0,278.3170299,182.0929308,0.309123112,278.3170299
2017,SBIN,1.0,0.923423531,0.031400931,0.019782266,0.086343812,0.001259885,0.037214703,1.304054302,0.083052091,0.068712187,0.913959526,149.3921419,24.23741487,18.18779758,0.040122539,0.0,1.499440149,0.0,0.0,113.098943,114.0255226,0.463235935,46.09913956,0.911945442,1.447555909,2.158727173,2.17641286,0.011503785,0.530314598,0.021692379,1.512476763,1.60080437,2100410000000.0,269.9174562,170.0452414,5.339578924,269.9174562
2018,SBIN,1.0,0.007243906,0.013925457,0.009806745,0.00217492,0.0005914,0.000308771,1.456626955,0.087842508,9.647104017,0.007674809,4.728024579,12.49699903,25.55739881,0.042468978,0.0,1.493451659,0.0,0.0,33.11748786,29.74981529,0.092176035,125.2549541,1.22834337,1.744232435,10.84880685,9.745606349,0.0,0.0,0.007983716,1.609892106,115.6078501,2880410000000.0,262.7522627,185.038412,2.576744387,262.7522627
2019,SBIN,1.0,0.082521647,0.10128194,0.078737323,0.016769051,0.004709431,0.003851312,1.293748594,0.077381602,4.691745509,0.099961916,6.957493187,14.35556072,26.97885479,0.046498235,0.0,1.704585388,0.0,0.0,26.81184678,23.37751097,0.11875799,8.88722892,0.699756618,0.900115782,8.420486094,7.341904033,0.0,0.0,0.112521013,0.424926697,4.195483411,1756810000000.0,281.3121033,218.6940947,22.14976206,281.3121033
2020,SBIN,1.0,0.086088715,0.103178367,0.081308357,0.017286291,0.004623859,0.003870227,1.547997932,0.088031842,4.696702352,0.119828049,10.31407171,18.742667,34.73741154,0.044814231,0.0,1.682901459,0.0,0.0,100.7538869,96.46459521,0.264794396,14.51091039,1.179858277,1.497212039,3.776514971,3.615741281,0.0,0.0,0.068913664,1.01261396,9.814208038,3251240000000.0,308.7658874,243.3189011,25.10524689,308.7658874
2021,SBIN,1.0,0.1416547,0.158158573,0.115756753,0.030340498,0.006598517,0.005929861,1.49773401,0.085375779,3.868216022,0.202840954,5.690739704,17.11874364,33.04630704,0.041720892,0.0,1.087861347,0.0,0.0,64.6468994,60.94336554,0.123479621,12.45196156,1.441398637,1.969384467,8.098502333,7.634550034,0.008104549,0.100917531,0.080308632,1.357592942,8.58374554,4404740000000.0,342.4104724,250.6112932,39.63632441,342.4104724
2022,SBIN,1.0,0.183320621,0.196360961,0.15503849,0.044281017,0.009345694,0.008765521,1.451954513,0.08752357,3.645044029,0.273462199,3.368583081,11.60449762,11.57707273,0.047594459,0.0,1.251496907,0.0,0.0,96.37806419,101.6119278,0.194008454,8.399674925,1.30227292,1.649368237,5.154414561,5.434327867,0.013556612,0.11387113,0.119052226,2.365112621,12.04471853,4674270000000.0,402.1814414,317.5458264,62.35360353,402.1814414
2012,TCS,0.576239397,0.270006992,0.220946577,0.360125427,0.339086126,0.266272245,0.420725992,0.006010237,0.004443894,0.339228933,350.7444834,2.666306392,2.661788038,0.5702042,1.205143109,1262.054846,2.642044294,6.001259047,77.61923853,29.67207082,22.93333256,0.029461387,21.89417305,7.884648409,4.837442594,33.9427337,26.23409754,0.018716805,0.409788961,0.045674253,4.733924515,15.51307917,3047080000000.0,98.72602552,160.9156046,35.55375205,98.72602552
2013,TCS,0.597250364,0.29092099,0.234250335,0.389551042,0.359956623,0.285440925,0.462429181,0.012738552,0.009334089,0.518287187,617.8624091,2.737513808,2.736035854,0.919972228,1.218529418,2166.251808,2.99670071,5.951692732,60.64202164,37.65558607,29.67553464,0.027823335,21.80269956,8.493264326,5.107289681,35.94105423,28.32435002,0.013115735,0.285958421,0.04586588,4.938732195,15.18580805,4178240000000.0,125.5783359,208.8328775,48.91917154,125.5783359
2014,TCS,0.550579032,0.239804662,0.209746577,0.392066241,0.333144123,0.269507777,0.425496938,0.015003725,0.010313616,0.635998645,217.843651,2.402422651,2.401391065,0.897881411,1.284920978,2646.980709,3.257440184,4.816817708,36.41289741,49.4422406,41.91388538,0.032822921,25.19861161,9.879524925,5.285322526,30.46651458,25.82751074,0.034024087,0.857359746,0.039684726,5.100600353,17.56137261,5002470000000.0,129.2541908,241.606826,50.67620469,129.2541908
2015,TCS,0.573083129,0.263743116,0.223586446,0.371658688,0.330807524,0.271768065,0.425087826,0.010773929,0.007878222,0.17000148,1445.017146,2.86989426,2.866394,0.288721399,1.215494363,2850.823602,3.168773325,6.15163536,55.98074609,48.50580831,43.3127232,0.034371085,20.44338193,7.597960513,4.570863116,29.09422236,25.97936296,0.019087912,0.390221482,0.048915586,4.518945888,14.79715935,4966070000000.0,165.853718,275.6919138,61.64097528,165.853718
2016,TCS,0.453834156,0.258116746,0.222852347,0.304927274,0.265710529,0.25461008,0.343125986,0.008699283,0.007263782,0.079056981,951.53125,5.548925028,5.543136714,0.247863837,1.142505714,3068.047619,3.395779959,10.26102883,72.03383838,64.00386301,58.95419852,0.048486058,18.22696438,5.557898563,4.061921797,20.62448529,18.99729083,0.022845818,0.416409905,0.054863771,4.037787724,13.22674849,4791690000000.0,218.7697358,299.3410658,66.70885916,218.7697358
2017,TCS,0.438718482,0.249447622,0.209790096,0.303378442,0.269901584,0.242963047,0.347108559,0.008669298,0.006942876,0.116981345,590.5384615,4.555979358,4.549080099,0.273894997,1.158124483,2657.538462,3.204164498,13.56419317,87.14251349,65.12286631,60.28547942,0.041438446,21.68307989,6.578178992,4.548895415,24.13217932,22.33961867,0.019154009,0.415317897,0.04611891,4.515224698,15.68713406,5599870000000.0,221.1584698,319.8183003,67.09471198,221.1584698
2018,TCS,0.450263889,0.255695978,0.214880209,0.35185475,0.314184023,0.273805277,0.403299626,0.005981262,0.004654481,0.154458966,189.1414141,4.171843869,4.165232748,0.327114653,1.274222876,8051.6,2.926567558,12.79656707,96.24154319,75.44826151,69.56132864,0.034238835,24.46442637,8.607924633,5.256921043,29.20660142,26.9277245,0.014837435,0.362989324,0.040875677,5.211250805,17.62470389,7699440000000.0,236.0208862,386.4714694,83.04506999,236.0208862
2019,TCS,0.440219434,0.245818705,0.206054196,0.384423365,0.294897365,0.267496009,0.411140357,0.097187552,0.067626697,0.010120368,41.754329,3.334700665,3.329748707,0.319512195,1.298182781,17571.4,2.886259149,13.0351632,98.48085951,86.26247716,77.60398328,0.042497116,21.18809435,8.145198526,4.365895744,23.53100863,21.16911153,0.054922268,1.163698207,0.047196316,4.362901141,14.74457852,6852230000000.0,224.1934306,418.2646831,86.18519297,224.1934306
2020,TCS,0.47084549,0.258757317,0.197530714,0.375203915,0.30984224,0.248013521,0.439754048,0.090185462,0.059613487,0.019128544,66.69073783,2.906748646,2.898521446,0.200409896,1.255569406,10859.375,2.70847631,11.05279898,101.7724187,103.7455914,95.25386424,0.029974311,36.64974065,13.75112618,7.239449431,33.36190112,30.63118111,0.009128762,0.334566759,0.027285323,7.245235869,23.95097232,11885500000000.0,231.0974358,438.9629391,86.7086627,231.0974358
2021,TCS,0.477106084,0.25263619,0.199875883,0.429968925,0.343942663,0.270835394,0.488528988,0.087705718,0.055245417,0.081942763,61.79081633,2.55743666,2.549951595,0.29486907,1.355017878,5013.35,3.219509738,12.46326911,84.15804802,108.0043589,99.90720869,0.026713515,36.09321749,15.51896192,7.214163703,37.43423572,34.62776907,0.009626668,0.347457406,0.027706036,7.189809583,24.19109591,13833400000000.0,240.9922789,518.4176786,103.6191911,240.9922789
2022,TCS,0.426043875,0.240563653,0.186939474,0.466104132,0.381079396,0.293398584,0.541866065,0.085021676,0.053518597,0.009010015,69.62387677,2.531567106,2.308071996,0.163529088,1.569484375,4621.535714,4.396006785,12.3065145,53.44978894,114.6881957,106.2160545,0.033131431,27.83247395,12.9728311,5.20298805,30.18281949,27.95318193,0.035247273,0.981018815,0.035929253,5.20549406,18.71563883,11730600000000.0,247.1241608,616.1651669,115.1855924,247.1241608
